base_task,encoder,head,level,metric,train_seed_mean,train_seed_sd,train_seed_min,train_seed_max,n_train_seeds,infer_seed_sd,train_seed_range,boot_ci_lo,boot_ci_hi,leaked_scan_frac,n_units,n_subjects,corr_mean,corr_sd,corr_min,corr_max,delta_pp,separated,legacy_value,legacy_z,legacy_inside_seed_range
B1_scanlevel,pointnet2,softmax,scan,accuracy,0.3384932920536635,0.0401580728347834,0.27822497420020637,0.3720330237358101,5,0.004899497384827206,0.09380804953560373,0.3179165959359366,0.35833064117400876,0.7874097007223942,1938,1602,0.2668478260869565,0.0288400107365039,0.2215217391304347,0.2967391304347826,7.164546596670701,False,0.3380804953560371,-0.010279295506154003,True
B1_scanlevel,pointnet2,softmax,scan,macro_auc,0.8170110623025553,0.007523369792941081,0.8039238087076803,0.8226084420110317,5,0.0019991741044030663,0.01868463330335135,0.8017520416483779,0.8322155988537385,0.7874097007223942,1938,1602,0.7749225051206415,0.0090806502578161,0.7658004737252699,0.7848524352157619,4.208855718191373,True,0.8190507900722908,0.27111890361275276,True
B1_scanlevel,pointnet2,softmax,scan,macro_f1,0.3185334435266579,0.04039512072698278,0.25866467660096976,0.34734842940288085,5,0.004718046233901294,0.0886837528019111,0.29273690598692964,0.34020051217186686,0.7874097007223942,1938,1602,0.2443407319638082,0.0237203115183629,0.2088370765092192,0.2717072307445782,7.419271156284971,False,0.3223368481419132,0.09415505008541133,True
B2_scanlevel,pointnet2,softmax,scan,accuracy,0.5233207547169811,0.03360546328636682,0.4649056603773585,0.549811320754717,5,0.011605581338043985,0.08490566037735847,0.48204103148907756,0.564782466915924,0.8528301886792453,530,427,0.2950736842105262,0.0294381740972979,0.2631578947368421,0.3389473684210526,22.824707050645493,True,0.5120754716981132,-0.3346266326710628,True
B2_scanlevel,pointnet2,softmax,scan,macro_auc,0.9327729045319758,0.003065627508031948,0.9289698824279553,0.9365041096226954,5,0.0014711435537180869,0.007534227194740062,0.9192033101590592,0.9462701212923303,0.8528301886792453,530,427,0.8446636222538629,0.0083028753843989,0.8365337085811528,0.8561029500232321,8.810928227811289,True,0.9273995140489208,-1.7527864911756803,False
B2_scanlevel,pointnet2,softmax,scan,macro_f1,0.478864267114823,0.02951653746463129,0.4287656494909302,0.5059165363745657,5,0.01225150137156508,0.07715088688363547,0.4269275701344507,0.5064310526521589,0.8528301886792453,530,427,0.2475740759271195,0.026598296462688,0.2199219258170746,0.284685914451454,23.12901911877035,True,0.4737615241660569,-0.1728774235419912,True
