seed,device,level,n,accuracy,macro_f1,macro_auc
0,cpu,scan,475,0.2863157894736842,0.22419901739820675,0.8454218159976455
0,cpu,subject,169,0.378698224852071,0.27218125012242655,0.915591906223567
0,gpu,scan,475,0.2863157894736842,0.22403868390453993,0.84543931782563
0,gpu,subject,169,0.378698224852071,0.27218125012242655,0.915591906223567
1,cpu,scan,475,0.29894736842105263,0.2526698191055684,0.8474905567605229
1,cpu,subject,169,0.39644970414201186,0.29138166745118615,0.9126937660322305
1,gpu,scan,475,0.29894736842105263,0.2526698191055684,0.8474688926654891
1,gpu,subject,169,0.39644970414201186,0.29138166745118615,0.9127415320522188
2,cpu,scan,475,0.29894736842105263,0.2512469987449906,0.8441177501277821
2,cpu,subject,169,0.3727810650887574,0.2612751083339319,0.9093580810386446
2,gpu,scan,475,0.29894736842105263,0.2514395006288244,0.844104781570745
2,gpu,subject,169,0.3727810650887574,0.2612751083339319,0.9093692300564161
3,cpu,scan,475,0.28421052631578947,0.24305981072996094,0.8454346460647989
3,cpu,subject,169,0.3727810650887574,0.28309981293390907,0.9158171012786368
3,gpu,scan,475,0.28421052631578947,0.24305981072996094,0.8454161106224517
3,gpu,subject,169,0.3727810650887574,0.28309981293390907,0.9158171012786368
4,cpu,scan,475,0.2863157894736842,0.22822510842752244,0.8411652376649165
4,cpu,subject,169,0.3905325443786982,0.2900828969010787,0.9100940524034101
4,gpu,scan,475,0.2863157894736842,0.22822510842752244,0.8411522533726865
4,gpu,subject,169,0.3905325443786982,0.2900828969010787,0.9101476298250073
