task,encoder,head,level,seed,metric,value,n_units,n_subjects
A1_ts2,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.0264900662251655,1029,1029
A1_ts2,dgcnn,softmax,scan,0,accuracy,0.6219630709426628,1029,1029
A1_ts2,dgcnn,softmax,scan,0,macro_f1,0.2564244997212654,1029,1029
A1_ts2,dgcnn,softmax,scan,0,macro_auc,0.5686158709401933,1029,1029
A1_ts2,dgcnn,softmax,scan,0,f1_class::Unaffected,0.7739018087855297,1029,1029
A1_ts2,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts2,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.0512820512820512,1029,1029
A1_ts2,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2005141388174807,1029,1029
A1_ts2,pointnet2,softmax,scan,0,accuracy,0.6822157434402333,1029,1029
A1_ts2,pointnet2,softmax,scan,0,macro_f1,0.2221130971867566,1029,1029
A1_ts2,pointnet2,softmax,scan,0,macro_auc,0.4725315970080039,1029,1029
A1_ts2,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8143783146729523,1029,1029
A1_ts2,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.074074074074074,1029,1029
A1_ts2,pointnet2,softmax,scan,1,accuracy,0.6890184645286687,1029,1029
A1_ts2,pointnet2,softmax,scan,1,macro_f1,0.2368305110719485,1029,1029
A1_ts2,pointnet2,softmax,scan,1,macro_auc,0.4779604156800399,1029,1029
A1_ts2,pointnet2,softmax,scan,1,f1_class::Unaffected,0.8182897862232779,1029,1029
A1_ts2,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,1,f1_class::Cleft Lip and Palate,0.1290322580645161,1029,1029
