task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_units,n_subjects,leaked_scan_frac,corrected_task
B2_scanlevel,pointnet2,softmax,scan,accuracy,5,0.5120754716981132,0.007019273674618217,0.5037735849056604,0.5245283018867924,0.5121400047810791,0.47140047398572915,0.5516624895572263,2000,530,427,0.8528301886792453,B2_corrected
B2_scanlevel,pointnet2,softmax,scan,macro_f1,5,0.4737615241660569,0.011604878799264126,0.45940399845350427,0.49150501216581655,0.46192518780323316,0.4194052702444703,0.5045985764416832,2000,530,427,0.8528301886792453,B2_corrected
B2_scanlevel,pointnet2,softmax,scan,macro_auc,5,0.9273995140489208,0.0010039069543032668,0.9256864448524795,0.9286909753440059,0.9286649481463584,0.9132635013102367,0.9424821518048527,2000,530,427,0.8528301886792453,B2_corrected
B1_scanlevel,pointnet2,softmax,scan,accuracy,5,0.3380804953560371,0.0038253360150362634,0.3323013415892673,0.34365325077399383,0.3378851754904652,0.31830115764497424,0.3568369092741886,2000,1938,1602,0.7874097007223942,B1_corrected
B1_scanlevel,pointnet2,softmax,scan,macro_f1,5,0.3223368481419132,0.007456938958120693,0.3167712893791554,0.3365472485773456,0.32026435020169797,0.29679048379277084,0.3441473656304798,2000,1938,1602,0.7874097007223942,B1_corrected
B1_scanlevel,pointnet2,softmax,scan,macro_auc,5,0.8190507900722908,0.0019758264589330964,0.8156374633640483,0.8212436796784319,0.8193434746331903,0.8037528146000098,0.8346550629769822,2000,1938,1602,0.7874097007223942,B1_corrected
C_scanlevel,pointnet2,softmax,scan,accuracy,5,0.9056368563685636,0.001776256868094735,0.9035230352303523,0.9086720867208672,0.9056302258449414,0.8965834619135066,0.9147031530690742,2000,3690,3411,0.35745257452574525,C_corrected
C_scanlevel,pointnet2,softmax,scan,macro_f1,5,0.9026962564338958,0.0018391828910709841,0.9005883392825142,0.9058668552665334,0.9026515584562896,0.8934635168439752,0.9121400049181433,2000,3690,3411,0.35745257452574525,C_corrected
C_scanlevel,pointnet2,softmax,scan,macro_auc,5,0.9636454062058656,0.0007375072653948323,0.9627308054785453,0.9649353229804606,0.9635921255931182,0.9580438076292946,0.9690870973918028,2000,3690,3411,0.35745257452574525,C_corrected
