task,encoder,head,level,seed,metric,value,n_units,n_subjects
B1_corrected,geommlp,proto,subject,0,f1_class::Cohesinopathy,0.16666666666666666,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Connective Tissue,0.2413793103448276,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Control,0.19289340101522842,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::DNA Repair,0.05714285714285714,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Deletion,0.021052631578947368,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Duplication,0.0,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Ectodermal,0.09302325581395349,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Growth,0.07142857142857142,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Imprinting,0.13953488372093023,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Lysozome,0.0967741935483871,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Neurocristopathy,0.0,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Peroxisome,0.19607843137254902,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Primary Palate,0.21621621621621623,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Rasopathy,0.12698412698412698,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Sex Chromosome,0.16,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Trisomy,0.06060606060606061,733,733
B1_corrected,geommlp,proto,subject,0,f1_class::Uncategorized,0.0,733,733
B1_corrected,geommlp,knn11,scan,0,accuracy,0.21467391304347827,1840,733
B1_corrected,geommlp,knn11,scan,0,macro_f1,0.1066099607093918,1840,733
B1_corrected,geommlp,knn11,scan,0,macro_auc,0.597755176036891,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Cartilage,0.0,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Ciliopathy,0.05555555555555555,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Cohesinopathy,0.0,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Connective Tissue,0.21994884910485935,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Control,0.35126903553299493,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::DNA Repair,0.044444444444444446,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Deletion,0.24752475247524752,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Duplication,0.05555555555555555,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Ectodermal,0.0,1840,733
B1_corrected,geommlp,knn11,scan,0,f1_class::Growth,0.0,1840,733
