base_task,encoder,head,level,metric,train_seed,value,infer_seed_sd,n_infer_seeds,n_units,n_subjects
A1,geommlp,softmax,scan,macro_f1,1,0.2731530606294574,0.0,1,1029,1029
A1,geommlp,softmax,scan,macro_f1,2,0.275589935519126,0.0,1,1029,1029
A1,geommlp,softmax,scan,macro_f1,3,0.2550364110109983,0.0,1,1029,1029
A1,geommlp,softmax,scan,macro_f1,4,0.2757802449545852,0.0,1,1029,1029
A1,geommlp,softmax,scan,macro_f1,5,0.2976105866089054,0.0,1,1029,1029
A1,pointnet,softmax,scan,accuracy,1,0.7055393586005831,0.0,1,1029,1029
A1,pointnet,softmax,scan,accuracy,2,0.7959183673469388,0.0,1,1029,1029
A1,pointnet,softmax,scan,accuracy,3,0.6219630709426628,0.0,1,1029,1029
A1,pointnet,softmax,scan,accuracy,4,0.7793974732750243,0.0,1,1029,1029
A1,pointnet,softmax,scan,accuracy,5,0.7687074829931972,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip,1,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip,2,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip,3,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip,4,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip,5,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,1,0.1333333333333333,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,2,0.0264900662251655,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,3,0.1584158415841584,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,4,0.0883977900552486,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,5,0.099009900990099,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Palate,1,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Palate,2,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Palate,3,0.0,0.0,1,1029,1029
