level,metric,seed,cpu,gpu,delta_pp
scan,accuracy,0,0.2863157894736842,0.2863157894736842,0.0
scan,accuracy,1,0.29894736842105263,0.29894736842105263,0.0
scan,accuracy,2,0.29894736842105263,0.29894736842105263,0.0
scan,accuracy,3,0.28421052631578947,0.28421052631578947,0.0
scan,accuracy,4,0.2863157894736842,0.2863157894736842,0.0
scan,macro_f1,0,0.22419901739820675,0.22403868390453993,-0.016033349366681438
scan,macro_f1,1,0.2526698191055684,0.2526698191055684,0.0
scan,macro_f1,2,0.2512469987449906,0.2514395006288244,0.019250188383379552
scan,macro_f1,3,0.24305981072996094,0.24305981072996094,0.0
scan,macro_f1,4,0.22822510842752244,0.22822510842752244,0.0
scan,macro_auc,0,0.8454218159976455,0.84543931782563,0.0017501827984434115
scan,macro_auc,1,0.8474905567605229,0.8474688926654891,-0.0021664095033790964
scan,macro_auc,2,0.8441177501277821,0.844104781570745,-0.0012968557037140727
scan,macro_auc,3,0.8454346460647989,0.8454161106224517,-0.0018535442347200615
scan,macro_auc,4,0.8411652376649165,0.8411522533726865,-0.0012984292229956118
subject,accuracy,0,0.378698224852071,0.378698224852071,0.0
subject,accuracy,1,0.39644970414201186,0.39644970414201186,0.0
subject,accuracy,2,0.3727810650887574,0.3727810650887574,0.0
subject,accuracy,3,0.3727810650887574,0.3727810650887574,0.0
subject,accuracy,4,0.3905325443786982,0.3905325443786982,0.0
subject,macro_f1,0,0.27218125012242655,0.27218125012242655,0.0
subject,macro_f1,1,0.29138166745118615,0.29138166745118615,0.0
subject,macro_f1,2,0.2612751083339319,0.2612751083339319,0.0
subject,macro_f1,3,0.28309981293390907,0.28309981293390907,0.0
subject,macro_f1,4,0.2900828969010787,0.2900828969010787,0.0
subject,macro_auc,0,0.915591906223567,0.915591906223567,0.0
subject,macro_auc,1,0.9126937660322305,0.9127415320522188,0.004776601998823793
subject,macro_auc,2,0.9093580810386446,0.9093692300564161,0.0011149017771550085
subject,macro_auc,3,0.9158171012786368,0.9158171012786368,0.0
subject,macro_auc,4,0.9100940524034101,0.9101476298250073,0.005357742159717294
