task,encoder,head,level,seed,metric,value,n_units,n_subjects
XS_fix_FC,pointnet,softmax,scan,0,macro_auc,0.523527718792239,1259,1259
XS_fix_FC,pointnet,softmax,scan,0,f1_class::Unaffected,0.7809812847749115,1259,1259
XS_fix_FC,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.0,1259,1259
XS_fix_FC,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.08695652173913043,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,accuracy,0.562351072279587,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,macro_f1,0.21592158982153523,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,macro_auc,0.4923740640932692,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,f1_class::Unaffected,0.7204641350210971,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.05504587155963303,1259,1259
XS_fix_FC,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.08817635270541083,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,accuracy,0.49007148530579825,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,macro_f1,0.1896208719845461,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,macro_auc,0.6044784674189116,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,f1_class::Unaffected,0.6561443066516347,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1023391812865497,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,accuracy,0.47736298649722003,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,macro_f1,0.18496878657822866,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,macro_auc,0.593195227960382,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,f1_class::Unaffected,0.6454545454545455,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,1,f1_class::Cleft Lip and Palate,0.0944206008583691,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,accuracy,0.4765687053216839,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,macro_f1,0.18465097402597402,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,macro_auc,0.5948337947606555,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,f1_class::Unaffected,0.6443181818181818,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,f1_class::Cleft Palate,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,2,f1_class::Cleft Lip and Palate,0.09428571428571429,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,accuracy,0.48451151707704526,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,macro_f1,0.18527809190911895,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,macro_auc,0.595381986182768,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,f1_class::Unaffected,0.6535211267605634,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,f1_class::Cleft Palate,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,3,f1_class::Cleft Lip and Palate,0.08759124087591241,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,accuracy,0.47180301826846704,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,macro_f1,0.18412672833338706,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,macro_auc,0.601654793882322,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,f1_class::Unaffected,0.6407322654462243,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,f1_class::Cleft Lip,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,f1_class::Cleft Palate,0.0,1259,1259
XS_fix_FC,pointnet2,softmax,scan,4,f1_class::Cleft Lip and Palate,0.09577464788732394,1259,1259
XS_fix_PR,geommlp,softmax,scan,0,accuracy,0.5432937181663837,589,589
XS_fix_PR,geommlp,softmax,scan,0,macro_f1,0.30481655687832343,589,589
XS_fix_PR,geommlp,softmax,scan,0,macro_auc,0.6214703515140628,589,589
XS_fix_PR,geommlp,softmax,scan,0,f1_class::Unaffected,0.7031847133757961,589,589
XS_fix_PR,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.11940298507462686,589,589
XS_fix_PR,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.13333333333333333,589,589
XS_fix_PR,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.26334519572953735,589,589
XS_fix_PR,pointnet,softmax,scan,0,accuracy,0.599320882852292,589,589
XS_fix_PR,pointnet,softmax,scan,0,macro_f1,0.2571210898753531,589,589
XS_fix_PR,pointnet,softmax,scan,0,macro_auc,0.5764239510590535,589,589
XS_fix_PR,pointnet,softmax,scan,0,f1_class::Unaffected,0.7508690614136733,589,589
XS_fix_PR,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,589,589
XS_fix_PR,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.05714285714285714,589,589
XS_fix_PR,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2204724409448819,589,589
XS_fix_PR,dgcnn,softmax,scan,0,accuracy,0.6994906621392191,589,589
XS_fix_PR,dgcnn,softmax,scan,0,macro_f1,0.32875102568700654,589,589
XS_fix_PR,dgcnn,softmax,scan,0,macro_auc,0.7340530135402132,589,589
XS_fix_PR,dgcnn,softmax,scan,0,f1_class::Unaffected,0.843644544431946,589,589
XS_fix_PR,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.14285714285714285,589,589
XS_fix_PR,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.0,589,589
XS_fix_PR,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.3285024154589372,589,589
XS_fix_PR,pointnet2,softmax,scan,0,accuracy,0.6366723259762309,589,589
XS_fix_PR,pointnet2,softmax,scan,0,macro_f1,0.31299499017210797,589,589
XS_fix_PR,pointnet2,softmax,scan,0,macro_auc,0.7035703969854821,589,589
XS_fix_PR,pointnet2,softmax,scan,0,f1_class::Unaffected,0.7921760391198044,589,589
XS_fix_PR,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,589,589
XS_fix_PR,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.08333333333333333,589,589
XS_fix_PR,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.3764705882352941,589,589
XS_fix_PR,pointnet2,softmax,scan,1,accuracy,0.6162988115449916,589,589
XS_fix_PR,pointnet2,softmax,scan,1,macro_f1,0.3115119300543655,589,589
XS_fix_PR,pointnet2,softmax,scan,1,macro_auc,0.7070049046841587,589,589
XS_fix_PR,pointnet2,softmax,scan,1,f1_class::Unaffected,0.7749077490774908,589,589
XS_fix_PR,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.0,589,589
XS_fix_PR,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.12987012987012986,589,589
XS_fix_PR,pointnet2,softmax,scan,1,f1_class::Cleft Lip and Palate,0.3412698412698413,589,589
XS_fix_PR,pointnet2,softmax,scan,2,accuracy,0.6247877758913413,589,589
XS_fix_PR,pointnet2,softmax,scan,2,macro_f1,0.3242250895758816,589,589
XS_fix_PR,pointnet2,softmax,scan,2,macro_auc,0.7117893433906552,589,589
XS_fix_PR,pointnet2,softmax,scan,2,f1_class::Unaffected,0.7780487804878049,589,589
XS_fix_PR,pointnet2,softmax,scan,2,f1_class::Cleft Lip,0.05714285714285714,589,589
XS_fix_PR,pointnet2,softmax,scan,2,f1_class::Cleft Palate,0.1111111111111111,589,589
XS_fix_PR,pointnet2,softmax,scan,2,f1_class::Cleft Lip and Palate,0.350597609561753,589,589
XS_fix_PR,pointnet2,softmax,scan,3,accuracy,0.629881154499151,589,589
XS_fix_PR,pointnet2,softmax,scan,3,macro_f1,0.3302336239136689,589,589
XS_fix_PR,pointnet2,softmax,scan,3,macro_auc,0.7061137608851767,589,589
XS_fix_PR,pointnet2,softmax,scan,3,f1_class::Unaffected,0.7754601226993865,589,589
XS_fix_PR,pointnet2,softmax,scan,3,f1_class::Cleft Lip,0.0,589,589
XS_fix_PR,pointnet2,softmax,scan,3,f1_class::Cleft Palate,0.17142857142857143,589,589
XS_fix_PR,pointnet2,softmax,scan,3,f1_class::Cleft Lip and Palate,0.37404580152671757,589,589
XS_fix_PR,pointnet2,softmax,scan,4,accuracy,0.6213921901528013,589,589
XS_fix_PR,pointnet2,softmax,scan,4,macro_f1,0.32714470113837996,589,589
XS_fix_PR,pointnet2,softmax,scan,4,macro_auc,0.6933375395673353,589,589
XS_fix_PR,pointnet2,softmax,scan,4,f1_class::Unaffected,0.7750611246943765,589,589
XS_fix_PR,pointnet2,softmax,scan,4,f1_class::Cleft Lip,0.05405405405405406,589,589
XS_fix_PR,pointnet2,softmax,scan,4,f1_class::Cleft Palate,0.12987012987012986,589,589
XS_fix_PR,pointnet2,softmax,scan,4,f1_class::Cleft Lip and Palate,0.34959349593495936,589,589
XS_fix_GW,geommlp,softmax,scan,0,accuracy,0.3696236559139785,744,744
XS_fix_GW,geommlp,softmax,scan,0,macro_f1,0.2039432378026352,744,744
XS_fix_GW,geommlp,softmax,scan,0,macro_auc,0.5168293321220674,744,744
XS_fix_GW,geommlp,softmax,scan,0,f1_class::Unaffected,0.5543237250554324,744,744
XS_fix_GW,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.10695187165775401,744,744
XS_fix_GW,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.0380952380952381,744,744
XS_fix_GW,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1164021164021164,744,744
XS_fix_GW,pointnet,softmax,scan,0,accuracy,0.7056451612903226,744,744
XS_fix_GW,pointnet,softmax,scan,0,macro_f1,0.24393429998095412,744,744
XS_fix_GW,pointnet,softmax,scan,0,macro_auc,0.509944017542922,744,744
XS_fix_GW,pointnet,softmax,scan,0,f1_class::Unaffected,0.833605220228385,744,744
XS_fix_GW,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,744,744
XS_fix_GW,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.0,744,744
XS_fix_GW,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.14213197969543148,744,744
XS_fix_GW,dgcnn,softmax,scan,0,accuracy,0.6384408602150538,744,744
XS_fix_GW,dgcnn,softmax,scan,0,macro_f1,0.33121798535008967,744,744
XS_fix_GW,dgcnn,softmax,scan,0,macro_auc,0.6743603388362532,744,744
XS_fix_GW,dgcnn,softmax,scan,0,f1_class::Unaffected,0.7877145438121048,744,744
XS_fix_GW,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.10714285714285714,744,744
XS_fix_GW,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.1506849315068493,744,744
XS_fix_GW,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.27932960893854747,744,744
XS_fix_GW,pointnet2,softmax,scan,0,accuracy,0.5295698924731183,744,744
XS_fix_GW,pointnet2,softmax,scan,0,macro_f1,0.28507735462698025,744,744
