task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
XS_fix_PH,geommlp,softmax,scan,accuracy,1,0.38418367346938775,0.0,0.38418367346938775,0.38418367346938775,True,0.38392278659873924,0.3624298111281266,0.4061248413738584,2000,1959,1960
XS_fix_PH,geommlp,softmax,scan,macro_f1,1,0.21502986643829863,0.0,0.21502986643829863,0.21502986643829863,True,0.21454892885757249,0.19606728188395717,0.23577949713884153,2000,1959,1960
XS_fix_PH,geommlp,softmax,scan,macro_auc,1,0.49858915177982543,0.0,0.49858915177982543,0.49858915177982543,True,0.4983138657368816,0.46781175464515146,0.5280660849689195,2000,1959,1960
XS_fix_PH,pointnet,softmax,scan,accuracy,1,0.5862244897959183,0.0,0.5862244897959183,0.5862244897959183,True,0.5860053649957726,0.5640616641664057,0.6073459319934225,2000,1959,1960
XS_fix_PH,pointnet,softmax,scan,macro_f1,1,0.2731645274144336,0.0,0.2731645274144336,0.2731645274144336,True,0.27296713371245757,0.2559246469803405,0.29209020872495695,2000,1959,1960
XS_fix_PH,pointnet,softmax,scan,macro_auc,1,0.5553779671164216,0.0,0.5553779671164216,0.5553779671164216,True,0.5561686960052243,0.5240910248374644,0.5874193151186212,2000,1959,1960
XS_fix_PH,dgcnn,softmax,scan,accuracy,1,0.585204081632653,0.0,0.585204081632653,0.585204081632653,True,0.5849963281301077,0.5640616641664057,0.6069423175089331,2000,1959,1960
XS_fix_PH,dgcnn,softmax,scan,macro_f1,1,0.262570111311046,0.0,0.262570111311046,0.262570111311046,True,0.2622980121180118,0.24720254987046614,0.27993182212995477,2000,1959,1960
XS_fix_PH,dgcnn,softmax,scan,macro_auc,1,0.6135437960191237,0.0,0.6135437960191237,0.6135437960191237,True,0.6139161535971143,0.5848615811514067,0.6441900194874629,2000,1959,1960
XS_fix_PH,pointnet2,softmax,scan,accuracy,5,0.4788775510204082,0.006202705271603729,0.47244897959183674,0.4857142857142857,False,0.4790000465056196,0.4599277705722412,0.4981632653061224,2000,1959,1960
XS_fix_PH,pointnet2,softmax,scan,macro_f1,5,0.2801035736694051,0.0061250860334456595,0.2757496354912432,0.29032798338275856,False,0.2798349902215322,0.2613463794415718,0.29956060300411597,2000,1959,1960
XS_fix_PH,pointnet2,softmax,scan,macro_auc,5,0.6390238329320426,0.002736246284599753,0.6366149706361701,0.6428324426823739,False,0.6389952759067437,0.6095076910835713,0.6687368986621959,2000,1959,1960
XS_fix_FC,geommlp,softmax,scan,accuracy,1,0.5313741064336776,0.0,0.5313741064336776,0.5313741064336776,True,0.53122954725973,0.5027799841143765,0.5575853852263701,2000,1259,1259
XS_fix_FC,geommlp,softmax,scan,macro_f1,1,0.2124024160522196,0.0,0.2124024160522196,0.2124024160522196,True,0.21213442612465544,0.19331880436322615,0.23336973175040676,2000,1259,1259
XS_fix_FC,geommlp,softmax,scan,macro_auc,1,0.6174935726698302,0.0,0.6174935726698302,0.6174935726698302,True,0.618865804846366,0.5631351629794051,0.6778980005857165,2000,1259,1259
XS_fix_FC,pointnet,softmax,scan,accuracy,1,0.6298649722001588,0.0,0.6298649722001588,0.6298649722001588,True,0.6299420174741859,0.6020651310563939,0.6552819698173153,2000,1259,1259
XS_fix_FC,pointnet,softmax,scan,macro_f1,1,0.2169844516285105,0.0,0.2169844516285105,0.2169844516285105,True,0.21688289735031896,0.2066171408373721,0.22814784669655577,2000,1259,1259
XS_fix_FC,pointnet,softmax,scan,macro_auc,1,0.523527718792239,0.0,0.523527718792239,0.523527718792239,True,0.5245133059228884,0.47264488883027317,0.5765283552254413,2000,1259,1259
XS_fix_FC,dgcnn,softmax,scan,accuracy,1,0.562351072279587,0.0,0.562351072279587,0.562351072279587,True,0.5622235901509135,0.5337569499602859,0.5893566322478158,2000,1259,1259
XS_fix_FC,dgcnn,softmax,scan,macro_f1,1,0.21592158982153523,0.0,0.21592158982153523,0.21592158982153523,True,0.2157712959026505,0.19828612534799936,0.23518233306939604,2000,1259,1259
XS_fix_FC,dgcnn,softmax,scan,macro_auc,1,0.4923740640932692,0.0,0.4923740640932692,0.4923740640932692,True,0.49208453621359866,0.43250401318256987,0.5489198197904152,2000,1259,1259
XS_fix_FC,pointnet2,softmax,scan,accuracy,5,0.4800635424940429,0.007205666992877975,0.47180301826846704,0.49007148530579825,False,0.4802722795869738,0.4563899920571882,0.5042096902303415,2000,1259,1259
XS_fix_FC,pointnet2,softmax,scan,macro_f1,5,0.18572909056625095,0.002216829072710173,0.18412672833338706,0.1896208719845461,False,0.18571896973368712,0.1763145609615261,0.19543266567500703,2000,1259,1259
XS_fix_FC,pointnet2,softmax,scan,macro_auc,5,0.5979088540410078,0.004879836237224561,0.593195227960382,0.6044784674189116,False,0.5988624222241902,0.5355911981729333,0.6566945987878356,2000,1259,1259
XS_fix_PR,geommlp,softmax,scan,accuracy,1,0.5432937181663837,0.0,0.5432937181663837,0.5432937181663837,True,0.5440772495755518,0.5042444821731749,0.5840407470288624,2000,589,589
